CREATE VIEW
Q5 - fornecedores com maior total pago (57a Legislatura - Cota Parlamentar)
=============================================================================

Resumo executivo - totais por ano e concentracao no top 10
 ano_dados | fornecedores | lancamentos |  total_pago  | pct_top_10 
-----------+--------------+-------------+--------------+------------
      2023 |        21868 |      213240 | 245280034.40 |      26.57
      2024 |        22288 |      220401 | 263302700.07 |      23.76
      2025 |        21953 |      200157 | 249254389.30 |      18.63
      2026 |        12813 |       51963 |  70012026.95 |       6.25
(4 rows)


Tabela principal - top 30 fornecedores por ano (maior total pago)
 ano_dados | posicao |                         fornecedor                          | cnpj_cpf | qtd_lancamentos | total_pago  | pct_total 
 GLOBAL    |      58 | DIAMOND COMERCIO E SERVICOS LTDA - DIAMOND                                                                                                     |          |              45 |   929433.30 |      0.11
 GLOBAL    |      59 | EVAG COMUNICAÇÃO E TECNOLOGIA LTDA                                                                                                             |          |             181 |   918546.40 |      0.11
 GLOBAL    |      60 | P8 Relações Institucionais Ltda                                                                                                                |          |              73 |   917146.49 |      0.11
 GLOBAL    |      61 | BROAD BRASIL LTDA                                                                                                                              |          |            1015 |   914059.72 |      0.11
 GLOBAL    |      62 | Cia Aérea - AZUL                                                                                                                               |          |             902 |   892543.69 |      0.11
 GLOBAL    |      63 | WMS COMERCIO DE ARTIGOS DE PAPELARIA LTDA                                                                                                      |          |            1423 |   891864.45 |      0.11
 GLOBAL    |      64 | 031 - 302 NORTE - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA                                                                                       |          |            4134 |   881323.76 |      0.11
 GLOBAL    |      65 | GALZON EDITORA GRAFICA LTDA                                                                                                                    |          |              22 |   862070.00 |      0.10
 GLOBAL    |      66 | NATIVA SERVICOS EIRELI - ME                                                                                                                    |          |              76 |   858000.00 |      0.10
 GLOBAL    |      67 | N P IMOVEIS LTDA                                                                                                                               |          |             287 |   855528.07 |      0.10
 GLOBAL    |      68 | EVERSON CARLOS DO NASCIMENTO MOREIRA                                                                                                           |          |              67 |   853500.00 |      0.10
 GLOBAL    |      69 | JD2 SERVIÇOS E LOCAÇÕES EIRELI                                                                                                                 |          |              75 |   850100.00 |      0.10
 GLOBAL    |      70 | TELEMAXIMO SISTEMAS CONSULTORIA E SERVIÇOS LTDA - ME                                                                                           |          |              68 |   846034.21 |      0.10
 GLOBAL    |      71 | Cidade Positiva Assessoria Publicitaria LTDA                                                                                                   |          |              36 |   845393.70 |      0.10
 GLOBAL    |      72 | TARGET RENT A CAR LTDA                                                                                                                         |          |             190 |   843062.25 |      0.10
 GLOBAL    |      73 | J D L SEM CORTES LTDA                                                                                                                          |          |              35 |   828204.94 |      0.10
 GLOBAL    |      74 | WMS COMERCIO DE ARTIGOS DE PAPELARIA LTDA-ME                                                                                                   |          |            1114 |   826458.96 |      0.10
 GLOBAL    |      75 | 2HC CRIATIVIDADE E PRODUÇÕES LTDA                                                                                                              |          |              63 |   822960.10 |      0.10
 GLOBAL    |      76 | MINUSSI FILMES PRESTACOES DE SERVICOS PRODUCOES CINEMATOGRAF                                                                                   |          |              97 |   815938.10 |      0.10
 GLOBAL    |      77 | QUALITYLOC AUTOMÓVEIS LTDA.                                                                                                                    |          |             108 |   814500.00 |      0.10
 GLOBAL    |      78 | PRESTAÇÃO DE SERVIÇOS DE DESIGN SGA LTDA                                                                                                       |          |              79 |   808647.00 |      0.10
 GLOBAL    |      79 | SEM PARAR INSTITUIÇÃO DE PAGAMENTO LTDA.                                                                                                       |          |            1458 |   789614.42 |      0.10
 GLOBAL    |      80 | AUTO LOCADORA LINCK E MELLO LTDA                                                                                                               |          |             185 |   784030.46 |      0.09
 GLOBAL    |      81 | TELEFÔNICA BRASIL S/A - VIVO                                                                                                                   |          |            1547 |   769055.69 |      0.09
 GLOBAL    |      82 | BRASIL LEASING LOCADORA DE VEICULOS LTDA                                                                                                       |          |             118 |   763806.00 |      0.09
 GLOBAL    |      83 | CMBC PUBLICIDADE E COMUNICAÇÃO LTDA                                                                                                            |          |              41 |   761322.00 |      0.09
 GLOBAL    |      84 | TRIPE COMUNICAÇÃO E SERVIÇOS DE CONSULTORIA EM PUBLICIDADE LTDA                                                                                |          |              28 |   756000.00 |      0.09
 GLOBAL    |      85 | NBF DESENVOLVIMENTO PROFISSIONAL E GERENCIAL LTDA                                                                                              |          |              48 |   754000.00 |      0.09
 GLOBAL    |      86 | FRAMIN AGENCIA DECOMUNICAÇÃO LTDA                                                                                                              |          |              21 |   752158.90 |      0.09
 GLOBAL    |      87 | Estratégia Comunicação Ltda.                                                                                                                   |          |              74 |   750666.00 |      0.09
 GLOBAL    |      88 | AC 24 HORAS LTDA                                                                                                                               |          |             136 |   750400.00 |      0.09
 GLOBAL    |      89 | HEISS TAXI AEREO LTDA - EPP                                                                                                                    |          |              35 |   743382.71 |      0.09
 GLOBAL    |      90 | LOCALIZA FLEET SA                                                                                                                              |          |             144 |   741087.35 |      0.09
 GLOBAL    |      91 | BG10 COMUNICACAO LTDA                                                                                                                          |          |              52 |   732256.70 |      0.09
 GLOBAL    |      92 | R.S.FERREIRA RIBEIRO - ME                                                                                                                      |          |              56 |   727000.00 |      0.09
 GLOBAL    |      93 | STUDIO AB - CRIATIVIDADE VISUAL EIRELI - EPP                                                                                                   |          |              17 |   713090.00 |      0.09
 GLOBAL    |      94 | INOP - INSTITUTO NACIONAL DE ORCAMENTO PUBLICO LTDA                                                                                            |          |              76 |   708400.00 |      0.09
 GLOBAL    |      95 | ML LOCAÇÕES EIRELI                                                                                                                             |          |              62 |   707233.34 |      0.09
 GLOBAL    |      96 | FEAT WORK LTDA                                                                                                                                 |          |              21 |   704394.30 |      0.09
